Colour,Lower Bound of Range,Upper Bound of Range,Spike Size,Occurences
White,1,0,0,11,2
White,1,0,0,12,1
White,1,0,0,13,5
White,1,0,0,14,3
White,1,0,0,15,0
White,1,0,0,16,0
White,1,0,0,17,0
White,1,0,0,18,8
White,1,0,0,19,0
White,1,0,0,20,0
White,1,0,0,21,2
White,1,0,0,22,0
White,1,0,0,23,2
White,1,0,0,24,3
White,1,0,0,25,1
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,0
White,1,0,0,29,0
White,1,0,0,30,0
White,1,0,0,31,0
White,1,0,0,32,1
White,1,0,0,33,1
White,1,0,0,34,1
White,1,0,0,35,1
White,1,0,0,36,0
White,1,0,0,37,0
White,1,0,0,38,2
White,1,0,0,39,1
White,1,0,0,40,0
White,1,0,0,41,0
White,1,0,0,42,1
White,1,0,0,43,0
White,1,0,0,44,0
White,1,0,0,45,2
White,1,0,0,46,1
White,1,0,0,47,0
White,1,0,0,48,0
White,1,0,0,49,2
White,1,0,0,50,0
White,1,0,0,51,2
White,1,0,0,52,3
White,1,0,0,53,2
White,1,0,0,54,1
White,1,0,0,55,0
White,1,0,0,56,0
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,148
White,1,0,0,1,12
White,1,0,0,2,9
White,1,0,0,3,3
White,1,0,0,4,5
White,1,0,0,5,6
White,1,0,0,6,13
White,1,0,0,7,16
White,1,0,0,8,3
White,1,0,0,9,3
White,1,0,0,10,9
White,1,0,0,11,1
White,1,0,0,12,0
White,1,0,0,13,2
White,1,0,0,14,4
White,1,0,0,15,5
White,1,0,0,16,3
White,1,0,0,17,2
White,1,0,0,18,3
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,2
White,1,0,0,22,1
White,1,0,0,23,1
White,1,0,0,24,3
White,1,0,0,25,3
White,1,0,0,26,0
White,1,0,0,27,0
White,1,0,0,28,1
White,1,0,0,29,2
White,1,0,0,30,1
White,1,0,0,31,0
White,1,0,0,32,2
White,1,0,0,33,3
White,1,0,0,34,1
White,1,0,0,35,2
White,1,0,0,36,3
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,2
White,1,0,0,40,1
White,1,0,0,41,7
White,1,0,0,42,3
White,1,0,0,43,3
White,1,0,0,44,9
White,1,0,0,45,2
White,1,0,0,46,0
White,1,0,0,47,0
White,1,0,0,48,2
White,1,0,0,49,4
White,1,0,0,50,1
White,1,0,0,51,3
White,1,0,0,52,0
White,1,0,0,53,0
White,1,0,0,54,0
White,1,0,0,55,0
White,1,0,0,56,0
White,1,0,0,57,0
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,0,0,134
White,1,0,0,1,12
White,1,0,0,2,5
White,1,0,0,3,7
White,1,0,0,4,10
White,1,0,0,5,5
White,1,0,0,6,4
White,1,0,0,7,13
White,1,0,0,8,1
White,1,0,0,9,2
White,1,0,0,10,9
White,1,0,0,11,4
White,1,0,0,12,9
White,1,0,0,13,2
White,1,0,0,14,2
White,1,0,0,15,2
White,1,0,0,16,2
White,1,0,0,17,3
White,1,0,0,18,16
White,1,0,0,19,2
White,1,0,0,20,1
White,1,0,0,21,4
White,1,0,0,22,1
White,1,0,0,23,5
White,1,0,0,24,1
White,1,0,0,25,1
White,1,0,0,26,7
White,1,0,0,27,1
White,1,0,0,28,0
White,1,0,0,29,1
White,1,0,0,30,3
White,1,0,0,31,2
White,1,0,0,32,0
White,1,0,0,33,1
White,1,0,0,34,0
White,1,0,0,35,3
White,1,0,0,36,0
White,1,0,0,37,0
White,1,0,0,38,0
White,1,0,0,39,1
White,1,0,0,40,2
White,1,0,0,41,1
White,1,0,0,42,3
White,1,0,0,43,1
White,1,0,0,44,2
White,1,0,0,45,1
White,1,0,0,46,2
White,1,0,0,47,1
White,1,0,0,48,0
White,1,0,0,49,1
White,1,0,0,50,6
White,1,0,0,51,1
White,1,0,0,52,5
White,1,0,0,53,3
White,1,0,0,54,3
White,1,0,0,55,2
White,1,0,0,56,1
White,1,0,0,57,1
White,1,0,0,58,0
White,1,0,0,59,0
White,1,0,1,0,151
White,1,0,1,1,14
White,1,0,1,2,4
White,1,0,1,3,16
White,1,0,1,4,15
White,1,0,1,5,1
White,1,0,1,6,5
White,1,0,1,7,3
White,1,0,1,8,3
White,1,0,1,9,0
White,1,0,1,10,17
White,1,0,1,11,1
White,1,0,1,12,1
White,1,0,1,13,0
White,1,0,1,14,4
White,1,0,1,15,3
White,1,0,1,16,3
White,1,0,1,17,5
White,1,0,1,18,6
White,1,0,1,19,1
White,1,0,1,20,1
White,1,0,1,21,1
White,1,0,1,22,1
White,1,0,1,23,4
White,1,0,1,24,2
White,1,0,1,25,2
White,1,0,1,26,2
White,1,0,1,27,1
White,1,0,1,28,1
White,1,0,1,29,0
White,1,0,1,30,2
White,1,0,1,31,0
White,1,0,1,32,0
White,1,0,1,33,1
White,1,0,1,34,2
White,1,0,1,35,2
White,1,0,1,36,0
White,1,0,1,37,0
White,1,0,1,38,1
White,1,0,1,39,1
White,1,0,1,40,0
White,1,0,1,41,1
White,1,0,1,42,2
White,1,0,1,43,3
White,1,0,1,44,4
White,1,0,1,45,0
White,1,0,1,46,1
White,1,0,1,47,5
White,1,0,1,48,5
White,1,0,1,49,3
White,1,0,1,50,1
White,1,0,1,51,1
White,1,0,1,52,3
White,1,0,1,53,4
White,1,0,1,54,1
White,1,0,1,55,0
White,1,0,1,56,0
White,1,0,1,57,0
White,1,0,1,58,0
