line,epoch,date,time,activity,marker,sleep/wake,intervalstatus,s/wstatus,
282,2201,27/06/2013,18:20:30,67,0,1,active,nan,
283,2202,27/06/2013,18:21:00,44,0,1,active,nan,
284,2203,27/06/2013,18:21:30,81,0,1,active,nan,
285,2204,27/06/2013,18:22:00,1,0,1,active,nan,
286,2205,27/06/2013,18:22:30,35,0,1,active,nan,
287,2206,27/06/2013,18:23:00,10,0,1,active,nan,
288,2207,27/06/2013,18:23:30,35,0,1,active,nan,
289,2208,27/06/2013,18:24:00,44,0,1,active,nan,
290,2209,27/06/2013,18:24:30,33,0,1,active,nan,
291,2210,27/06/2013,18:25:00,22,0,1,active,nan,
292,2211,27/06/2013,18:25:30,14,0,1,active,nan,
293,2212,27/06/2013,18:26:00,12,0,1,active,nan,
294,2213,27/06/2013,18:26:30,63,0,1,active,nan,
295,2214,27/06/2013,18:27:00,131,0,1,active,nan,
296,2215,27/06/2013,18:27:30,168,0,1,active,nan,
297,2216,27/06/2013,18:28:00,113,0,1,active,nan,
298,2217,27/06/2013,18:28:30,47,0,1,active,nan,
299,2218,27/06/2013,18:29:00,23,0,1,active,nan,
300,2219,27/06/2013,18:29:30,219,0,1,active,nan,
301,2220,27/06/2013,18:30:00,145,0,1,active,nan,
302,2221,27/06/2013,18:30:30,131,0,1,active,nan,
303,2222,27/06/2013,18:31:00,99,0,1,active,nan,
304,2223,27/06/2013,18:31:30,150,0,1,active,nan,
305,2224,27/06/2013,18:32:00,56,0,1,active,nan,
306,2225,27/06/2013,18:32:30,22,0,1,active,nan,
307,2226,27/06/2013,18:33:00,131,0,1,active,nan,
308,2227,27/06/2013,18:33:30,27,0,1,active,nan,
309,2228,27/06/2013,18:34:00,33,0,1,active,nan,
310,2229,27/06/2013,18:34:30,102,0,1,active,nan,
311,2230,27/06/2013,18:35:00,219,0,1,active,nan,
312,2231,27/06/2013,18:35:30,162,0,1,active,nan,
313,2232,27/06/2013,18:36:00,78,0,1,active,nan,
314,2233,27/06/2013,18:36:30,30,0,1,active,nan,
315,2234,27/06/2013,18:37:00,47,0,1,active,nan,
